id_cuenta;id_cliente;saldo;fecha_apertura
2;2;1000;2025-10-12
4;4;1000;2025-10-12
8;8;1000;2025-10-12
9;9;1000;2025-10-12
10;10;1000;2025-10-12
13;13;1000;2025-10-12
18;18;1000;2025-10-12
21;21;1000;2025-10-12
23;23;1000;2025-10-12
26;26;1000;2025-10-12
27;27;1000;2025-10-12
28;28;1000;2025-10-12
32;32;1000;2025-10-12
40;40;1000;2025-10-12
42;42;1000;2025-10-12
43;43;1000;2025-10-12
45;45;1000;2025-10-12
51;51;1000;2025-10-12
53;53;1000;2025-10-12
57;57;1000;2025-10-12
63;63;1000;2025-10-12
64;64;1000;2025-10-12
68;68;1000;2025-10-12
74;74;1000;2025-10-12
76;76;1000;2025-10-12
78;78;1000;2025-10-12
83;83;1000;2025-10-12
90;90;1000;2025-10-12
91;91;1000;2025-10-12
92;92;1000;2025-10-12
95;95;1000;2025-10-12
104;104;1000;2025-10-12
106;106;1000;2025-10-12
113;113;1000;2025-10-12
116;116;1000;2025-10-12
118;118;1000;2025-10-12
120;120;1000;2025-10-12
121;121;1000;2025-10-12
123;123;1000;2025-10-12
124;124;1000;2025-10-12
126;126;1000;2025-10-12
127;127;1000;2025-10-12
130;130;1000;2025-10-12
131;131;1000;2025-10-12
132;132;1000;2025-10-12
134;134;1000;2025-10-12
137;137;1000;2025-10-12
138;138;1000;2025-10-12
140;140;1000;2025-10-12
145;145;1000;2025-10-12
149;149;1000;2025-10-12
152;152;1000;2025-10-12
153;153;1000;2025-10-12
157;157;1000;2025-10-12
162;162;1000;2025-10-12
165;165;1000;2025-10-12
167;167;1000;2025-10-12
168;168;1000;2025-10-12
171;171;1000;2025-10-12
176;176;1000;2025-10-12
177;177;1000;2025-10-12
182;182;1000;2025-10-12
183;183;1000;2025-10-12
185;185;1000;2025-10-12
187;187;1000;2025-10-12
188;188;1000;2025-10-12
200;200;1000;2025-10-12
201;201;1000;2025-10-12
202;202;1000;2025-10-12
205;205;1000;2025-10-12
208;208;1000;2025-10-12
210;210;1000;2025-10-12
213;213;1000;2025-10-12
215;215;1000;2025-10-12
216;216;1000;2025-10-12
217;217;1000;2025-10-12
219;219;1000;2025-10-12
222;222;1000;2025-10-12
226;226;1000;2025-10-12
230;230;1000;2025-10-12
231;231;1000;2025-10-12
233;233;1000;2025-10-12
236;236;1000;2025-10-12
238;238;1000;2025-10-12
241;241;1000;2025-10-12
245;245;1000;2025-10-12
248;248;1000;2025-10-12
254;254;1000;2025-10-12
256;256;1000;2025-10-12
258;258;1000;2025-10-12
261;261;1000;2025-10-12
262;262;1000;2025-10-12
269;269;1000;2025-10-12
270;270;1000;2025-10-12
271;271;1000;2025-10-12
275;275;1000;2025-10-12
279;279;1000;2025-10-12
281;281;1000;2025-10-12
283;283;1000;2025-10-12
284;284;1000;2025-10-12
286;286;1000;2025-10-12
287;287;1000;2025-10-12
292;292;1000;2025-10-12
293;293;1000;2025-10-12
294;294;1000;2025-10-12
301;301;1000;2025-10-12
303;303;1000;2025-10-12
310;310;1000;2025-10-12
312;312;1000;2025-10-12
313;313;1000;2025-10-12
317;317;1000;2025-10-12
320;320;1000;2025-10-12
322;322;1000;2025-10-12
333;333;1000;2025-10-12
334;334;1000;2025-10-12
338;338;1000;2025-10-12
340;340;1000;2025-10-12
341;341;1000;2025-10-12
344;344;1000;2025-10-12
345;345;1000;2025-10-12
348;348;1000;2025-10-12
352;352;1000;2025-10-12
356;356;1000;2025-10-12
357;357;1000;2025-10-12
358;358;1000;2025-10-12
359;359;1000;2025-10-12
365;365;1000;2025-10-12
368;368;1000;2025-10-12
376;376;1000;2025-10-12
379;379;1000;2025-10-12
380;380;1000;2025-10-12
383;383;1000;2025-10-12
389;389;1000;2025-10-12
390;390;1000;2025-10-12
392;392;1000;2025-10-12
394;394;1000;2025-10-12
401;401;1000;2025-10-12
404;404;1000;2025-10-12
406;406;1000;2025-10-12
409;409;1000;2025-10-12
410;410;1000;2025-10-12
415;415;1000;2025-10-12
416;416;1000;2025-10-12
419;419;1000;2025-10-12
424;424;1000;2025-10-12
431;431;1000;2025-10-12
432;432;1000;2025-10-12
433;433;1000;2025-10-12
438;438;1000;2025-10-12
441;441;1000;2025-10-12
446;446;1000;2025-10-12
447;447;1000;2025-10-12
451;451;1000;2025-10-12
453;453;1000;2025-10-12
458;458;1000;2025-10-12
462;462;1000;2025-10-12
464;464;1000;2025-10-12
472;472;1000;2025-10-12
473;473;1000;2025-10-12
475;475;1000;2025-10-12
476;476;1000;2025-10-12
479;479;1000;2025-10-12
484;484;1000;2025-10-12
485;485;1000;2025-10-12
487;487;1000;2025-10-12
489;489;1000;2025-10-12
490;490;1000;2025-10-12
494;494;1000;2025-10-12
495;495;1000;2025-10-12
498;498;1000;2025-10-12
499;499;1000;2025-10-12
500;500;1000;2025-10-12
502;502;1000;2025-10-12
503;503;1000;2025-10-12
507;507;1000;2025-10-12
508;508;1000;2025-10-12
513;513;1000;2025-10-12
517;517;1000;2025-10-12
518;518;1000;2025-10-12
522;522;1000;2025-10-12
524;524;1000;2025-10-12
527;527;1000;2025-10-12
534;534;1000;2025-10-12
536;536;1000;2025-10-12
538;538;1000;2025-10-12
539;539;1000;2025-10-12
543;543;1000;2025-10-12
544;544;1000;2025-10-12
545;545;1000;2025-10-12
547;547;1000;2025-10-12
548;548;1000;2025-10-12
549;549;1000;2025-10-12
555;555;1000;2025-10-12
557;557;1000;2025-10-12
559;559;1000;2025-10-12
562;562;1000;2025-10-12
565;565;1000;2025-10-12
567;567;1000;2025-10-12
570;570;1000;2025-10-12
571;571;1000;2025-10-12
577;577;1000;2025-10-12
578;578;1000;2025-10-12
580;580;1000;2025-10-12
587;587;1000;2025-10-12
593;593;1000;2025-10-12
594;594;1000;2025-10-12
596;596;1000;2025-10-12
598;598;1000;2025-10-12
602;602;1000;2025-10-12
609;609;1000;2025-10-12
611;611;1000;2025-10-12
613;613;1000;2025-10-12
616;616;1000;2025-10-12
620;620;1000;2025-10-12
621;621;1000;2025-10-12
624;624;1000;2025-10-12
627;627;1000;2025-10-12
631;631;1000;2025-10-12
642;642;1000;2025-10-12
648;648;1000;2025-10-12
650;650;1000;2025-10-12
651;651;1000;2025-10-12
653;653;1000;2025-10-12
654;654;1000;2025-10-12
655;655;1000;2025-10-12
668;668;1000;2025-10-12
670;670;1000;2025-10-12
675;675;1000;2025-10-12
676;676;1000;2025-10-12
680;680;1000;2025-10-12
683;683;1000;2025-10-12
684;684;1000;2025-10-12
685;685;1000;2025-10-12
686;686;1000;2025-10-12
687;687;1000;2025-10-12
693;693;1000;2025-10-12
697;697;1000;2025-10-12
707;707;1000;2025-10-12
710;710;1000;2025-10-12
713;713;1000;2025-10-12
715;715;1000;2025-10-12
716;716;1000;2025-10-12
718;718;1000;2025-10-12
719;719;1000;2025-10-12
721;721;1000;2025-10-12
726;726;1000;2025-10-12
730;730;1000;2025-10-12
731;731;1000;2025-10-12
732;732;1000;2025-10-12
733;733;1000;2025-10-12
737;737;1000;2025-10-12
738;738;1000;2025-10-12
742;742;1000;2025-10-12
744;744;1000;2025-10-12
745;745;1000;2025-10-12
753;753;1000;2025-10-12
768;768;1000;2025-10-12
775;775;1000;2025-10-12
776;776;1000;2025-10-12
782;782;1000;2025-10-12
784;784;1000;2025-10-12
789;789;1000;2025-10-12
791;791;1000;2025-10-12
793;793;1000;2025-10-12
797;797;1000;2025-10-12
798;798;1000;2025-10-12
799;799;1000;2025-10-12
803;803;1000;2025-10-12
805;805;1000;2025-10-12
806;806;1000;2025-10-12
810;810;1000;2025-10-12
811;811;1000;2025-10-12
812;812;1000;2025-10-12
815;815;1000;2025-10-12
818;818;1000;2025-10-12
823;823;1000;2025-10-12
826;826;1000;2025-10-12
830;830;1000;2025-10-12
832;832;1000;2025-10-12
833;833;1000;2025-10-12
836;836;1000;2025-10-12
838;838;1000;2025-10-12
839;839;1000;2025-10-12
840;840;1000;2025-10-12
846;846;1000;2025-10-12
847;847;1000;2025-10-12
850;850;1000;2025-10-12
853;853;1000;2025-10-12
858;858;1000;2025-10-12
860;860;1000;2025-10-12
863;863;1000;2025-10-12
864;864;1000;2025-10-12
866;866;1000;2025-10-12
867;867;1000;2025-10-12
869;869;1000;2025-10-12
871;871;1000;2025-10-12
873;873;1000;2025-10-12
874;874;1000;2025-10-12
881;881;1000;2025-10-12
882;882;1000;2025-10-12
886;886;1000;2025-10-12
887;887;1000;2025-10-12
890;890;1000;2025-10-12
893;893;1000;2025-10-12
897;897;1000;2025-10-12
898;898;1000;2025-10-12
901;901;1000;2025-10-12
902;902;1000;2025-10-12
905;905;1000;2025-10-12
907;907;1000;2025-10-12
912;912;1000;2025-10-12
914;914;1000;2025-10-12
915;915;1000;2025-10-12
917;917;1000;2025-10-12
919;919;1000;2025-10-12
922;922;1000;2025-10-12
923;923;1000;2025-10-12
924;924;1000;2025-10-12
925;925;1000;2025-10-12
931;931;1000;2025-10-12
932;932;1000;2025-10-12
933;933;1000;2025-10-12
934;934;1000;2025-10-12
938;938;1000;2025-10-12
940;940;1000;2025-10-12
943;943;1000;2025-10-12
947;947;1000;2025-10-12
949;949;1000;2025-10-12
953;953;1000;2025-10-12
955;955;1000;2025-10-12
956;956;1000;2025-10-12
958;958;1000;2025-10-12
965;965;1000;2025-10-12
969;969;1000;2025-10-12
971;971;1000;2025-10-12
978;978;1000;2025-10-12
984;984;1000;2025-10-12
990;990;1000;2025-10-12
992;992;1000;2025-10-12
993;993;1000;2025-10-12
995;995;1000;2025-10-12
999;999;1000;2025-10-12
1000;1000;1000;2025-10-12
